rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults,scaled_income
224,10027.9776549285,33350.2247887315,151 to 200,Pre 1919,Owner-occupied,5,end terrace,North West,England,4,-0.006551055713515101
225,16516.6325402895,40639.0912183248,101 to 150,1965 to 1983,Council/Housing Association,5,semi-detached,West Midlands,England,2,0.6969635649354762
226,13904.5263612306,23182.4122528196,50 or less,1965 to 1983,NA,5,purpose built flat,East Midlands,England,3,-0.987938881670871
227,16896.0741937945,35073.5348319787,Over 250,Post 1999,Privately rented,6,mid terraced,York and Humber,England,2,0.1597812297037795
228,13642.6599373905,27419.1284101341,50 or less,1945 to 1964,Council/Housing Association,5,converted flat,East of England,England,2,-0.5790149716223678
229,11805.5084155605,34545.2495089897,50 or less,1945 to 1964,NA,5,mid terraced,South West,England,5 or more,0.10879162079997422
230,20082.6978108773,24679.2634530409,50 or less,Post 1999,Privately rented,6,end terrace,East of England,England,2,-0.8434641935333309
231,13482.3173288094,46690.448724638,Over 250,Post 1999,Privately rented,5,mid terraced,South West,England,2,1.281034973238523
232,18771.1618521481,50085.7456918023,101 to 150,1984 to 1992,Privately rented,5,detached,North West,England,2,1.608745884244824
233,9450.01261058168,20447.7341135126,151 to 200,1919 to 1944,NA,6,purpose built flat,South West,England,5 or more,-1.2518874767446595
234,12641.2301963506,25200.2079954144,Over 250,1984 to 1992,Owner-occupied,5,NA,London,England,5 or more,-0.7931831099592005
235,13492.6354938637,23810.6845396054,201 to 250,1965 to 1983,Council/Housing Association,6,NA,West Midlands,England,2,-0.9272986238513775
236,12966.7912497247,30509.248647934,101 to 150,Post 1999,NA,4,purpose built flat,London,England,5 or more,-0.2807594352018893
237,20506.5462828286,34519.3293056965,51 to 100,1984 to 1992,Owner-occupied,5,converted flat,North West,England,5 or more,0.1062898268429709
238,14560.3404382954,34408.5617067065,Over 250,1965 to 1983,Owner-occupied,5,converted flat,York and Humber,England,2,0.09559864102740182
239,15717.8295953419,16958.149594677,50 or less,1919 to 1944,NA,6,NA,East Midlands,England,3,-1.5886989346997482
240,10574.4676546498,30918.1843163607,50 or less,1984 to 1992,Council/Housing Association,5,purpose built flat,East Midlands,England,5 or more,-0.2412893441497331
241,11497.937872067,30490.1007351502,201 to 250,1993 to 1999,Owner-occupied,5,bungalow,South West,England,2,-0.2826075739664607
242,18988.6348177294,22741.2444360053,Over 250,1945 to 1964,NA,6,converted flat,York and Humber,England,4,-1.0305199897604003
243,20117.0926668773,41401.39292188,51 to 100,1965 to 1983,Privately rented,6,end terrace,London,England,4,0.7705402176258503
244,20076.7361763202,39294.069861138,51 to 100,1945 to 1964,Council/Housing Association,6,end terrace,North East,England,4,0.5671433522856387
245,8675.04406739897,25411.9074555504,51 to 100,1984 to 1992,Council/Housing Association,5,bungalow,London,England,4,-0.7727500746130602
246,23548.277367508,42070.8430754977,201 to 250,Post 1999,Council/Housing Association,5,mid terraced,London,England,5 or more,0.8351549249215702
247,19070.0872256173,41390.2006162563,50 or less,1965 to 1983,Privately rented,5,detached,East Midlands,England,5 or more,0.7694599466782205
248,14544.3456689632,36581.3442194973,151 to 200,Post 1999,NA,5,mid terraced,Wales,Wales,2,0.3053135919054457
249,17711.454923565,32417.4697887977,50 or less,Post 1999,Council/Housing Association,4,bungalow,West Midlands,England,5 or more,-0.09657970231796284
250,10446.9967785745,40067.1037646327,151 to 200,Pre 1919,Privately rented,4,bungalow,North West,England,1,0.6417558669501762
251,9907.46017325205,28438.3887658335,50 or less,1965 to 1983,Privately rented,6,semi-detached,East of England,England,2,-0.4806369083927979
252,14872.2037826201,32393.9299368359,51 to 100,1919 to 1944,Owner-occupied,6,semi-detached,London,England,5 or more,-0.09885174697442738
253,9462.96266393018,37175.3833053781,50 or less,Pre 1919,Owner-occupied,4,end terrace,South East,England,1,0.3626496929564043
254,15485.3309697759,43541.7730596291,201 to 250,Post 1999,NA,5,bungalow,Wales,Wales,2,0.9771277213479094
255,20288.5823118197,32435.3964721562,50 or less,1965 to 1983,Council/Housing Association,5,mid terraced,East Midlands,England,3,-0.0948494354837066
256,10176.4145196065,19775.5576655332,50 or less,1965 to 1983,Owner-occupied,5,purpose built flat,South West,England,4,-1.3167653234410217
257,11459.2418152377,23704.9862094094,50 or less,1965 to 1983,Council/Housing Association,5,converted flat,North West,England,5 or more,-0.9375005285493653
258,14863.857086622,22655.4094716768,50 or less,1984 to 1992,Privately rented,6,end terrace,North West,England,2,-1.0388047008264192
259,10249.2744622603,12458.0883912532,Over 250,Pre 1919,Council/Housing Association,6,end terrace,North West,England,2,-2.023040664103697
260,12997.271389759,34722.4183775464,151 to 200,1919 to 1944,Council/Housing Association,5,converted flat,East of England,England,2,0.1258917955058004
261,18444.4511583971,35820.2939944296,51 to 100,Post 1999,NA,4,converted flat,South West,England,3,0.23185773075678584
262,18862.541873458,43598.3676313217,50 or less,1965 to 1983,Council/Housing Association,7,detached,Wales,Wales,2,0.9825901768641004
263,16326.1300790069,35076.6299207597,201 to 250,Post 1999,Owner-occupied,5,converted flat,West Midlands,England,5 or more,0.16007996479937636
264,6633.01032274172,29382.8603970337,50 or less,1919 to 1944,Privately rented,4,mid terraced,Wales,Wales,4,-0.38947738341648186
265,14425.6954040563,28583.9173307077,50 or less,1984 to 1992,Privately rented,7,detached,North East,England,2,-0.46659062642288984
266,19278.1774855748,29016.9569264629,51 to 100,1984 to 1992,Council/Housing Association,6,mid terraced,York and Humber,England,4,-0.42479404668357496
267,18185.4690322237,44199.1007747144,101 to 150,Post 1999,NA,5,detached,East Midlands,England,4,1.040572382131206
268,13833.0046321268,39757.532208578,151 to 200,1945 to 1964,Owner-occupied,5,mid terraced,West Midlands,England,4,0.6118763077724544
269,2954.5569596272,5726.6614707537,50 or less,1945 to 1964,Council/Housing Association,4,bungalow,York and Humber,England,2,-2.672751740873401
270,14924.3898856443,41918.6664553154,201 to 250,Pre 1919,Council/Housing Association,6,purpose built flat,East of England,England,5 or more,0.8204669788255167
271,17147.838586749,19316.9827057682,50 or less,Post 1999,Owner-occupied,6,end terrace,Wales,Wales,2,-1.3610265528069987
272,14857.9434948528,33220.2127568784,50 or less,1919 to 1944,Council/Housing Association,4,converted flat,York and Humber,England,4,-0.019099696322099402
273,15344.7926320822,30430.7859762001,Over 250,1965 to 1983,Privately rented,5,converted flat,West Midlands,England,2,-0.28833257943126733
274,16532.0017310768,34098.4918263833,151 to 200,1919 to 1944,Privately rented,5,converted flat,London,England,3,0.0656709840539393
275,12939.9073527882,42014.2383552361,50 or less,Pre 1919,Privately rented,4,end terrace,East of England,England,1,0.829691489874921
276,20340.8627250805,27303.6523537654,50 or less,1945 to 1964,NA,5,semi-detached,Wales,Wales,2,-0.5901606133726999
277,16698.8978107631,32975.6645320033,Over 250,1984 to 1992,Owner-occupied,5,purpose built flat,South West,England,5 or more,-0.04270326394338033
278,9272.26085746069,52031.8499609473,Over 250,1984 to 1992,Privately rented,4,end terrace,West Midlands,England,2,1.796582061498976
279,20652.2918174471,25519.4279468953,151 to 200,1965 to 1983,Privately rented,6,end terrace,West Midlands,England,1,-0.7623722966127134
280,19881.4927415791,32732.2480816752,51 to 100,Post 1999,NA,5,detached,London,England,2,-0.06619759373614782
281,18234.5698752928,36582.5545619297,50 or less,1919 to 1944,Council/Housing Association,5,end terrace,East Midlands,England,2,0.3054304130333133
282,7452.71693394445,28233.8293614478,Over 250,1919 to 1944,Council/Housing Association,4,purpose built flat,North West,England,2,-0.5003807921868957
283,12193.6706640908,26039.2259172886,101 to 150,1993 to 1999,Privately rented,5,NA,London,England,2,-0.7122018791016104
284,17413.766849405,33674.7855060244,50 or less,1965 to 1983,NA,5,end terrace,South East,England,2,0.024775243390667452
285,14850.3571883105,43779.8676187909,50 or less,1919 to 1944,Owner-occupied,5,purpose built flat,South East,England,2,1.0001083871462604
286,16167.2455325388,33247.420351141,201 to 250,1945 to 1964,Privately rented,6,end terrace,South West,England,5 or more,-0.016473644583969924
287,25325.9956163797,46295.838259925,51 to 100,1919 to 1944,NA,6,detached,West Midlands,England,2,1.242947537548996
288,11112.7922267248,33421.6103383971,Over 250,1965 to 1983,Privately rented,5,mid terraced,North West,England,5 or more,3.3901126437760977e-4
289,5499.69462109026,28249.0219791771,50 or less,Pre 1919,Owner-occupied,5,purpose built flat,Wales,Wales,4,-0.498914414828806
290,15845.9803486478,39226.3853538242,Over 250,1984 to 1992,Owner-occupied,6,mid terraced,North West,England,2,0.5606105064794163
291,11680.0357261861,31034.5489907484,50 or less,1984 to 1992,NA,5,mid terraced,York and Humber,England,5 or more,-0.23005793381321885
292,16593.0656539689,28730.3293192976,Over 250,1965 to 1983,Privately rented,4,purpose built flat,York and Humber,England,1,-0.45245907721613116
293,11139.6488804307,29445.7994671055,Over 250,1984 to 1992,Owner-occupied,5,semi-detached,NA,NA,1,-0.3834025628070949
294,24251.4914189886,33875.3545330315,51 to 100,1984 to 1992,NA,5,end terrace,North East,England,2,0.04413397966493266
295,14124.4536891303,33800.553376099,151 to 200,Post 1999,Privately rented,6,purpose built flat,West Midlands,England,5 or more,0.03691424144475903
296,12589.6918352587,28165.5292226662,Over 250,Pre 1919,NA,6,mid terraced,East of England,England,2,-0.5069730581708248
297,13939.4131145403,34271.96890065683,50 or less,Post 1999,NA,6,purpose built flat,North East,England,4,0.08241483020309245
298,18400.9130661913,26855.7568916505,50 or less,1993 to 1999,Council/Housing Association,4,bungalow,South East,England,5 or more,-0.6333910675405573
299,15080.6776812672,31222.7450137598,50 or less,1945 to 1964,NA,5,end terrace,South East,England,4,-0.21189342839726485
300,7613.73548150384,16331.9122602804,201 to 250,1965 to 1983,Owner-occupied,6,semi-detached,North West,England,2,-1.649142780803928
301,14641.4924624688,29641.2851233507,101 to 150,Post 1999,NA,7,bungalow,NA,NA,5 or more,-0.36453446875926154
302,17957.3500934234,41624.0427164998,Over 250,Post 1999,Owner-occupied,5,mid terraced,North West,England,2,0.7920301690898484
303,14829.6918993816,34271.96890065683,Over 250,1965 to 1983,Privately rented,6,detached,North East,England,2,0.08241483020309245
304,17846.5884200118,44991.0777258602,201 to 250,Post 1999,Owner-occupied,6,mid terraced,Wales,Wales,5 or more,1.1170132621679074
305,14025.3817495078,34271.96890065683,50 or less,1965 to 1983,Council/Housing Association,4,end terrace,London,England,1,0.08241483020309245
306,14410.1213072659,34254.6475332389,201 to 250,Post 1999,Owner-occupied,3,purpose built flat,North West,England,3,0.08074298790143221
307,16752.1997743949,44848.8403059179,Over 250,Pre 1919,Privately rented,5,semi-detached,North West,England,2,1.103284638451259
308,18966.8985928644,48830.9294344176,Over 250,1965 to 1983,Council/Housing Association,5,semi-detached,East Midlands,England,2,1.4876321840795923
309,9255.17184100463,15051.1510242238,50 or less,1965 to 1983,Council/Housing Association,4,converted flat,West Midlands,England,1,-1.7727606662227129
310,14513.3605297363,41653.8412468684,Over 250,Post 1999,Owner-occupied,4,converted flat,West Midlands,England,2,0.7949062955754497
311,14351.5830955472,40425.6713562622,50 or less,1984 to 1992,Council/Housing Association,6,purpose built flat,East Midlands,England,4,0.6763644779926378
312,11370.2822735943,39027.687180294,101 to 150,Post 1999,Privately rented,5,end terrace,East Midlands,England,2,0.5414323432458031
313,10176.4056947305,20545.7807445406,50 or less,1945 to 1964,Council/Housing Association,5,bungalow,South East,England,2,-1.2424241069463706
314,11923.9110780182,53292.9317053076,50 or less,1919 to 1944,Owner-occupied,3,converted flat,London,England,2,1.918300500650084
315,17204.2222836204,11695.1677399278,50 or less,Post 1999,NA,6,purpose built flat,West Midlands,England,4,-2.096677057058207
316,12855.156491392,31741.4063914944,50 or less,1945 to 1964,NA,5,converted flat,York and Humber,England,5 or more,-0.16183271375434308
317,11258.3653499957,31213.4209051219,Over 250,1984 to 1992,Privately rented,5,detached,North West,England,2,-0.21279338270629822
318,15368.2814288731,32750.1989686796,101 to 150,1919 to 1944,NA,7,converted flat,East of England,England,2,-0.06446499078846028
319,9298.26346227973,35174.7354056136,50 or less,1984 to 1992,Council/Housing Association,5,bungalow,North East,England,3,0.1695490151143006
320,19193.1938997258,39074.6269682113,151 to 200,1984 to 1992,Council/Housing Association,6,semi-detached,South West,England,5 or more,0.5459629279957042
321,12558.3766232495,24112.1775048621,51 to 100,1965 to 1983,NA,5,end terrace,South East,England,4,-0.8981988027571475
322,15481.1102258681,47444.921864066,Over 250,1993 to 1999,NA,7,detached,North West,England,5 or more,1.3538560201875416
323,14881.6817314675,30921.5046910334,Over 250,1965 to 1983,Privately rented,6,end terrace,East of England,England,2,-0.2409688646690293
324,14657.6276982547,39162.2000256899,Over 250,1993 to 1999,Council/Housing Association,5,converted flat,West Midlands,England,2,0.5544153981988887
325,22506.8169980307,34937.6650502568,101 to 150,Pre 1919,Council/Housing Association,6,converted flat,North East,England,5 or more,0.146667204516316
326,11083.8080123691,20022.424605012,50 or less,Pre 1919,Owner-occupied,6,bungalow,North West,England,5 or more,-1.2929379556389347
327,19627.6694688813,32674.3583680515,51 to 100,1993 to 1999,Privately rented,4,end terrace,East Midlands,England,4,-0.07178505514909182
328,14797.7582064554,23705.362379199,201 to 250,1984 to 1992,Privately rented,4,end terrace,South East,England,4,-0.93746422099051685
329,11040.8962015143,34878.0306246369,151 to 200,1919 to 1944,NA,5,purpose built flat,East of England,England,5 or more,0.14091134512132555
330,14361.4322661637,18646.576122101,151 to 200,1984 to 1992,NA,5,converted flat,North East,England,2,-1.4257335738431263
331,17899.6454739543,27488.0641810949,Over 250,1984 to 1992,Privately rented,6,converted flat,North West,England,5 or more,-0.5723613550106367
332,12815.4951153454,31894.2545842649,50 or less,1919 to 1944,Council/Housing Association,4,mid terraced,York and Humber,England,3,-0.14707994809557903
333,11313.0396721811,14117.9520421791,50 or less,1945 to 1964,NA,7,NA,West Midlands,England,5 or more,-1.8628321655683022
334,15322.544137775,29381.9961518568,201 to 250,1984 to 1992,NA,4,mid terraced,East Midlands,England,4,-0.38956079955857276
335,18945.8310403622,34816.5100386362,50 or less,1984 to 1992,NA,6,mid terraced,West Midlands,England,3,0.13497343527753122
336,14342.8068926731,45729.9154371259,Over 250,Pre 1919,Owner-occupied,5,detached,North West,England,2,1.1883251921069582
337,8645.23863552041,25129.13873425,50 or less,Pre 1919,Privately rented,6,mid terraced,East Midlands,England,2,-0.8000426490646068
338,8995.80358447691,22988.3887213642,50 or less,1984 to 1992,Owner-occupied,4,mid terraced,North West,England,4,-1.0066658527914596
339,11329.2164769069,23974.9768514889,50 or less,1984 to 1992,Privately rented,5,bungalow,York and Humber,England,2,-0.9114412824407853
340,12376.3584662598,35389.026571758,Over 250,1919 to 1944,NA,5,mid terraced,North West,England,1,0.19023219951817713
341,14567.8987533208,34271.96890065683,51 to 100,1965 to 1983,Privately rented,5,end terrace,North West,England,2,0.08241483020309245
342,17569.2833225063,31226.2993771545,50 or less,1965 to 1983,Privately rented,5,purpose built flat,South East,England,4,-0.21155036454235324
343,12775.4359352171,28983.7753238788,51 to 100,Pre 1919,NA,5,converted flat,North West,England,2,-0.42799670415850155
344,9832.90575116979,38667.7185886923,Over 250,1984 to 1992,Privately rented,5,purpose built flat,North East,England,1,0.5066885089867427
345,17291.7108928982,50704.8549200682,Over 250,1984 to 1992,NA,5,purpose built flat,South East,England,2,1.6685017321631508
346,15853.2791770561,28613.7916272757,50 or less,1965 to 1983,Council/Housing Association,6,mid terraced,North West,England,2,-0.46370718705406544
347,19677.5007921903,38579.2013819186,Over 250,Post 1999,Privately rented,7,mid terraced,NA,NA,5 or more,0.4981449103701629
348,7366.62631860048,23248.8075587266,201 to 250,Pre 1919,NA,4,end terrace,Wales,Wales,3,-0.9815304683875117
349,15039.5744587068,51195.5612156766,Over 250,1919 to 1944,Owner-occupied,5,detached,Wales,Wales,4,1.7158642482333315
350,20526.458851615,44749.1012966461,151 to 200,1919 to 1944,Privately rented,5,converted flat,North West,England,2,1.093657921876117
351,17798.7774147039,19891.0603556337,Over 250,Post 1999,Council/Housing Association,6,purpose built flat,Wales,Wales,5 or more,-1.3056171110276236
352,11050.4383581645,25842.5005527739,50 or less,Post 1999,Privately rented,5,bungalow,East Midlands,England,2,-0.7311896286406447
353,17834.5457706645,15137.2987916432,Over 250,1965 to 1983,NA,7,NA,East Midlands,England,4,-1.7644457636927735
354,10879.1032508668,28864.7624806714,50 or less,1919 to 1944,Council/Housing Association,5,NA,Wales,Wales,1,-0.43948371329087804
355,12694.4200843046,38104.0764901035,151 to 200,1919 to 1944,Privately rented,4,end terrace,Wales,Wales,1,0.4522862969280112
356,19810.3210893744,30153.2584401359,50 or less,Post 1999,NA,7,purpose built flat,North West,England,4,-0.3151192795498408
357,13400.8331505452,20221.2786628604,50 or less,1945 to 1964,Council/Housing Association,5,bungalow,South East,England,2,-1.2737447465956544
358,18253.8956448317,48732.0826835853,Over 250,Post 1999,Privately rented,6,mid terraced,South East,England,2,1.4780915874606402
359,13396.160238329,23190.1384470977,201 to 250,Pre 1919,Owner-occupied,6,converted flat,Wales,Wales,5 or more,-0.9871931565723083
360,7826.41931525271,35219.6120048252,50 or less,1993 to 1999,Council/Housing Association,4,mid terraced,North West,England,4,0.17388046280583466
361,10980.9775187423,31836.0645489215,101 to 150,1984 to 1992,Council/Housing Association,4,end terrace,West Midlands,England,2,-0.1526963962820839
362,9939.98924575542,37051.1058198265,51 to 100,1965 to 1983,Council/Housing Association,5,end terrace,South East,England,2,0.3506545454327694
363,12559.7572740907,40762.5495453885,51 to 100,Pre 1919,NA,5,purpose built flat,North West,England,2,0.7088796480423832
364,13201.6761147018,42678.4638988171,50 or less,1945 to 1964,Privately rented,5,end terrace,North West,England,2,0.8938019226605348
365,13995.8847515204,44359.1542848465,Over 250,Pre 1919,Privately rented,4,end terrace,North West,England,4,1.0560205983321451
366,13605.677693349,35180.4933796794,151 to 200,1984 to 1992,Council/Housing Association,6,detached,South East,England,3,0.17010476942530828
367,22863.1147676469,43129.2980992494,201 to 250,1945 to 1964,Council/Housing Association,6,end terrace,York and Humber,England,4,0.9373160211224018
368,8650.19338238434,18609.9168952786,101 to 150,Pre 1919,Council/Housing Association,4,bungalow,West Midlands,England,2,-1.429271888380835
369,12862.1744561212,20366.6877041842,50 or less,1919 to 1944,NA,5,mid terraced,East of England,England,5 or more,-1.2597100009278628
370,16172.211015706,29318.002044128,50 or less,1965 to 1983,NA,6,purpose built flat,York and Humber,England,2,-0.39573745142309474
371,21721.1882174466,39128.5707245306,51 to 100,1984 to 1992,NA,6,mid terraced,London,England,5 or more,0.5511695292731364
372,15045.2782537643,24600.709650452,151 to 200,1965 to 1983,Privately rented,4,end terrace,North West,England,2,-0.8510461336282257
373,20031.4657114379,46517.2588479449,Over 250,1919 to 1944,Owner-occupied,6,detached,North West,England,2,1.264318847133192
374,7529.50368368395,19004.2259450704,50 or less,1919 to 1944,NA,5,mid terraced,York and Humber,England,3,-1.391213544979662
375,20930.08655356,42803.7442368565,151 to 200,1945 to 1964,Council/Housing Association,6,end terrace,East Midlands,England,5 or more,0.9058938645752237
376,11665.4618841544,38649.2991224334,101 to 150,1965 to 1983,Council/Housing Association,5,semi-detached,South West,England,2,0.504910679204449
377,13459.9544397715,21220.8438496904,51 to 100,1945 to 1964,Privately rented,5,semi-detached,South West,England,5 or more,-1.1772676427799544
378,9852.07216022902,38290.608958647,50 or less,Post 1999,Council/Housing Association,4,converted flat,South East,England,2,0.470290237611202
379,15242.686099088,14307.6606522545,51 to 100,Post 1999,NA,4,purpose built flat,Wales,Wales,5 or more,-1.8445216666532482
380,22401.5890664822,34271.96890065683,51 to 100,1919 to 1944,Council/Housing Association,4,mid terraced,East of England,England,4,0.08241483020309245
381,25160.8697438736,57919.1572259758,51 to 100,Post 1999,Owner-occupied,6,detached,South East,England,5 or more,2.3648194928208834
382,9990.35449725554,34271.96890065683,Over 250,1945 to 1964,NA,4,end terrace,South East,England,4,0.08241483020309245
383,16766.9866716188,44082.8143671922,50 or less,Pre 1919,Privately rented,5,purpose built flat,North East,England,5 or more,1.029348526039885
384,20681.1560197664,34199.2598107078,Over 250,1993 to 1999,Owner-occupied,5,end terrace,Wales,Wales,4,0.07539701634584518
385,13813.4671297613,35410.2043837072,50 or less,Post 1999,Privately rented,4,mid terraced,South West,England,2,0.19227626226559247
386,13714.586713849,42870.6843360839,101 to 150,1945 to 1964,Council/Housing Association,5,semi-detached,North West,England,2,0.91235486080407
387,13339.0989748512,19725.4023003001,Over 250,Pre 1919,Owner-occupied,4,mid terraced,North West,England,2,-1.3216062727280353
388,17251.1286220876,45372.5612910483,Over 250,1993 to 1999,NA,7,mid terraced,South East,England,5 or more,1.1538337017025782
389,20717.633461259,26232.5088217617,Over 250,1919 to 1944,Privately rented,4,purpose built flat,West Midlands,England,2,-0.6935463926097395
390,17640.2062163161,31723.6687871028,51 to 100,1984 to 1992,NA,6,mid terraced,North West,England,3,-0.16354473086225918
391,16049.0695964488,34271.96890065683,Over 250,1965 to 1983,Privately rented,4,purpose built flat,East of England,England,1,0.08241483020309245
392,13350.8667715088,36942.9408263364,151 to 200,Pre 1919,Privately rented,5,mid terraced,South East,England,1,0.340214560683737
393,16822.291251274,34271.96890065683,151 to 200,Post 1999,NA,6,converted flat,East of England,England,2,0.08241483020309245
394,12278.4475706021,40263.5540201406,Over 250,Post 1999,Privately rented,6,end terrace,London,England,5 or more,0.6607170632232907
395,13447.7609902998,29984.1882653454,50 or less,1984 to 1992,NA,5,purpose built flat,York and Humber,England,2,-0.33143777585234946
396,19416.396392949,43943.8203069216,151 to 200,1965 to 1983,Owner-occupied,7,end terrace,London,England,5 or more,1.0159329483875463
397,16577.7196540839,32116.750015518,Over 250,1993 to 1999,NA,5,converted flat,South West,England,4,-0.12560489564042102
398,15704.93508527,12458.2437514694,Over 250,1965 to 1983,Owner-occupied,6,end terrace,London,England,4,-2.023025668879869
399,13553.8035528909,36783.15839877,51 to 100,1965 to 1983,Privately rented,4,mid terraced,North West,England,2,0.3247925091203604
400,18696.6724165105,32640.321737075,51 to 100,1984 to 1992,Owner-occupied,4,end terrace,South East,England,5 or more,-0.07507023917062686
401,20449.2907367768,33784.0785523937,151 to 200,1965 to 1983,Privately rented,6,NA,South West,England,3,0.03532410675629291
402,10893.0276542456,29782.5297923871,151 to 200,Pre 1919,NA,5,purpose built flat,North West,England,4,-0.3509016644383597
403,14901.3872387961,46244.6355805614,51 to 100,1965 to 1983,NA,5,converted flat,South East,England,3,1.2380055024744545
404,14872.2583710491,36425.336983051,201 to 250,1965 to 1983,Council/Housing Association,4,converted flat,NA,NA,3,0.2902559182840149
405,12153.228132763,38859.9789678979,Over 250,Pre 1919,Owner-occupied,3,converted flat,East Midlands,England,3,0.5252453022891277
406,10330.0464673434,35076.1026395778,50 or less,1993 to 1999,Council/Housing Association,6,purpose built flat,South East,England,2,0.16002907210923878
407,14650.2112224116,34394.6485386431,51 to 100,1965 to 1983,Council/Housing Association,5,mid terraced,Wales,Wales,1,0.09425575496319719
408,17501.9570656357,42526.8366872154,51 to 100,1984 to 1992,Privately rented,5,purpose built flat,South West,England,4,0.8791670049705991
409,21061.9814629866,38458.1241651663,Over 250,Post 1999,NA,7,converted flat,NA,NA,5 or more,0.4864586498198396
410,6382.51784179403,13629.5299467758,101 to 150,1919 to 1944,NA,3,mid terraced,Wales,Wales,1,-1.909974212755386
411,11613.8650303302,34271.96890065683,101 to 150,Pre 1919,Council/Housing Association,4,end terrace,South West,England,2,0.08241483020309245
412,13308.7074502579,34271.96890065683,50 or less,Pre 1919,Owner-occupied,5,mid terraced,South West,England,5 or more,0.08241483020309245
413,7448.67694201053,17139.8758425823,50 or less,Post 1999,Owner-occupied,3,bungalow,East of England,England,4,-1.571158885970361
414,11404.6162951453,29696.4086990901,50 or less,1919 to 1944,NA,3,converted flat,East of England,England,1,-0.3592139924067699
415,11291.5779652909,28636.8077444094,201 to 250,Post 1999,NA,5,converted flat,East of England,England,1,-0.4614856927969629
416,11529.0598198909,26440.3364243295,51 to 100,Post 1999,Owner-occupied,6,detached,NA,NA,1,-0.6734870653613689
417,5169.43232931253,33366.9665246393,151 to 200,1984 to 1992,Council/Housing Association,4,end terrace,York and Humber,England,4,-0.0049351589070708865
418,15584.1390734831,24363.1120527717,151 to 200,1965 to 1983,Privately rented,5,purpose built flat,West Midlands,England,5 or more,-0.8739788331657717
419,11920.1744931337,6316.05683191392,151 to 200,1965 to 1983,Owner-occupied,5,mid terraced,Wales,Wales,5 or more,-2.6158638478211422
420,21250.8877446197,47238.3493182378,51 to 100,Post 1999,Owner-occupied,5,mid terraced,East of England,England,4,1.3339178298504568
421,18111.2568135976,37270.0326322758,50 or less,1965 to 1983,Privately rented,6,end terrace,Wales,Wales,5 or more,0.37178515811416446
422,8356.6928935339,26239.4499804216,201 to 250,1984 to 1992,Privately rented,5,converted flat,West Midlands,England,5 or more,-0.6928764384202024
423,15086.0238513971,30216.4042302682,50 or less,Pre 1919,Council/Housing Association,5,NA,East Midlands,England,5 or more,-0.30902450651213775
424,12086.4001806556,15145.8047370839,51 to 100,1919 to 1944,NA,6,mid terraced,West Midlands,England,3,-1.763624777735934
425,18510.391497546,28331.6701232688,201 to 250,1965 to 1983,Owner-occupied,5,purpose built flat,West Midlands,England,2,-0.49093729269333314
426,14888.8639777612,38426.8869335419,201 to 250,Pre 1919,Council/Housing Association,2,bungalow,North West,England,1,0.48344366122474874
427,12247.0114435043,31253.2985424406,Over 250,1945 to 1964,Council/Housing Association,6,purpose built flat,NA,NA,5 or more,-0.20894443017552614
428,16562.5186718353,22054.7202170582,50 or less,1984 to 1992,NA,3,bungalow,North West,England,2,-1.0967826699897958
429,15322.6989238415,39697.0546876668,50 or less,1919 to 1944,Owner-occupied,5,semi-detached,East of England,England,2,0.6060390736026953
430,13946.396019862501,40105.637548444,201 to 250,1919 to 1944,NA,4,end terrace,York and Humber,England,3,0.6454751119880754
431,23416.7286851849,40809.7932372056,201 to 250,1965 to 1983,Privately rented,6,detached,London,England,5 or more,0.7134395653145427
432,12366.3665931509,31043.9905948166,Over 250,1945 to 1964,Owner-occupied,5,mid terraced,East of England,England,5 or more,-0.2291466389543379
433,12620.0843952983,44624.8868263752,201 to 250,1945 to 1964,Owner-occupied,4,semi-detached,North East,England,2,1.0816688565288706
434,7958.8764377875405,30556.0217585183,201 to 250,1984 to 1992,NA,4,mid terraced,North West,England,2,-0.27624493799342226
435,14484.4219284281,44688.5438545209,101 to 150,1993 to 1999,Privately rented,7,purpose built flat,Wales,Wales,3,1.0878129737849835
436,18520.0387190749,36828.7367528709,201 to 250,Post 1999,NA,6,detached,East Midlands,England,4,0.3291916895422864
437,5679.85483186823,38455.8985155097,50 or less,Pre 1919,Privately rented,4,converted flat,North East,England,2,0.48624383218132433
438,13576.4645410055,31680.2061889765,Over 250,1945 to 1964,Privately rented,4,converted flat,North East,England,3,-0.16773970048182876
439,9535.46251187755,36996.5356475372,151 to 200,1945 to 1964,Owner-occupied,4,end terrace,North East,England,4,0.3453874830674904
440,20912.4901843854,36377.9921525783,Over 250,1984 to 1992,NA,6,NA,East Midlands,England,2,0.28568623920271635
441,20549.3807218629,29173.42512652,51 to 100,1984 to 1992,NA,6,purpose built flat,North East,England,4,-0.4096918812823983
442,16109.9754500458,44245.7857934311,Over 250,Post 1999,Privately rented,6,semi-detached,Wales,Wales,2,1.0450783767943985
443,20858.6177826506,61021.2737108691,201 to 250,1945 to 1964,Privately rented,4,purpose built flat,East Midlands,England,2,2.6642328958732513
444,10901.9297191935,26708.4111630017,Over 250,1993 to 1999,NA,6,purpose built flat,London,England,1,-0.6476127404708972
445,18782.5858971077,51243.1495699935,51 to 100,1993 to 1999,Owner-occupied,6,end terrace,York and Humber,England,4,1.7204574320099792
